#Table1
specobjid,redshift,plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
1783434297907111936,0.02222399,1584,52943,32,422.3838,72.25724,166.2164,167.7037
2427571116953331712,0.03972302,2156,54525,476,137.3266,121.4283,318.0259,355.1313
2429795698552629248,0.02134934,2158,54209,377,88.93002,94.80769,350.2201,311.5451
480904427633403904,0.01209331,427,51900,528,168.3746,109.4587,395.4808,262.1568
481988545813178368,0.01477035,428,51883,376,79.03995,246.7487,1114.876,482.6453
482008611900385280,0.02651437,428,51883,449,71.53205,34.75086,153.5443,213.8211
482017682871314432,0.02650658,428,51883,482,184.5202,1115.458,4548.184,1716.851
482035000179451904,0.02605854,428,51883,545,18.58572,31.51543,95.02374,80.13768
483026483732834304,0.01693125,429,51820,56,334.6782,416.9622,1233.817,1096.429
483071013953759232,0.01836346,429,51820,218,97.33463,91.89371,415.9179,423.598
483129837825845248,0.0443843,429,51820,432,56.18512,70.29011,277.9914,154.0647
486414629887567872,0.01115533,432,51884,94,139.8146,82.7543,448.6612,577.8047
760034707374106624,0.01616108,675,52590,190,108.7433,121.2102,663.1885,395.7936
764523731543418880,0.02514215,679,52177,137,126.6943,89.66232,219.9578,110.059
1012234912620636160,0.01420947,899,52620,185,1026.814,949.103,3515.597,987.6561
1013333050144090112,0.03018908,900,52637,84,63.11298,31.16889,95.95247,114.6861
1013340196969670656,0.02752212,900,52637,110,53.69291,17.4569,65.22912,64.59053
1013425409120823296,0.06910703,900,52637,420,43.77901,25.15762,180.2654,215.7392
1013481209335932928,0.03393195,900,52637,623,570.897,500.8777,2560.91,2030.835
1014509252775012352,0.02491404,901,52641,267,93.07463,116.516,517.9783,368.8078
1256634087599269888,0.01239831,1116,52932,472,301.3725,200.1344,680.5145,306.4826
1501968664042170368,0.03471295,1334,52764,66,1271.243,1636.342,6149.114,2882.77
1503219359525398528,0.006642068,1335,52824,520,14803.74,4171.77,14603.09,1302.108
2232682113004496896,0.006129883,1983,53442,82,1355.455,811.5004,2749.054,568.36
2232732965417281536,0.005766408,1983,53442,267,284.6534,727.3481,2336.337,805.7728
2233797567399880704,0.02031516,1984,53433,44,140.0379,121.418,384.743,350.5291
2235011153325484032,0.02392405,1985,53431,363,158.0974,93.36076,297.4798,383.112
2738278526498138112,0.02054417,2432,54052,327,299.8898,489.765,1707.561,457.9409
2738292270393485312,0.02053294,2432,54052,377,132.2305,647.1654,3126.749,1385.129
2739374735698716672,0.01358073,2433,53820,219,125.5197,135.0625,280.296,119.1172
2740479744985294848,0.0280566,2434,53826,143,66.21374,45.63389,245.9077,262.6497
2740480569619015680,0.02829974,2434,53826,146,175.4861,103.3544,321.6004,682.0347
825408363801110528,0.0201641,733,52207,450,155.4692,132.4148,467.508,362.5491
1079879063478233088,0.04268014,959,52411,513,557.58,72.47333,487.1251,743.6385
1335389077041604608,0.1738556,1186,52646,261,104.8692,692.0834,627.0295,177.3339
1341019676557207552,0.0127828,1191,52674,265,474.108,2923.707,11551.39,5544.387
